PROGRAMAS,MAXIMO ESTOQUE/CONTA,,,,VALORES/CPF,,,,,,,,,
SMILES,855.000,,,,,,,,,,,,,
SMILES LIMINAR,,,,,,,,,,,,,,
LATAM,,,,,SMILES,,SMILES LIMINAR,,LATAM,,LATAM LIMINAR,,IBERIA/AVIOS,
LATAM LIMINAR,,,,,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR
IBERIA/AVIOS,,,,,PREÇO TETO:,18,PREÇO TETO ,17,PREÇO TETO,28,PREÇO TETO,,PREÇO TETO,
AZUL,,,,,15k,"17,5",15K,17,15k,28,15k,,15k,
AZUL LIMINAR,,,,,30K,17,30K,17,20k,27,20k,,20k,
AZUL INTERLINE/PELO MUNDO/AZUL VIAGENS,,,,,50K,"16,5",50K,17,30k,26,30k,,30k,
TAP,,,,,75K,"16,25",75K,17,40k,"25,5",40k,,40k,
QATAR,,,,,100K,16,100K,17,50k,"25,25",50k,,50k,
TURKISH,,,,,,,,,60k,25,60k,,60k,
AMERICAN AIRLINES,,,,,,,,,80k,"24,75",80k,,80k,
,,,,,,,,,100k,"25,5",100k,,100k,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,AZUL/TUDO AZUL,,AZUL LIMINAR,,AZUL INTERLINE/PELO MUNDO/AZUL VIAGENS,,TAP,,QATAR,
,,,,,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR
,,,,,PREÇO TETO,,PREÇO TETO,,PREÇO TETO,,PREÇO TETO,,PREÇO TETO,
,,,,,15k,,15k,,15k,,15k,,15k,
,,,,,20k,,20k,,20k,,20k,,20k,
,,,,,30k,,30k,,30k,,30k,,30k,
,,,,,40k,,40k,,40k,,40k,,40k,
,,,,,50k,,50k,,50k,,50k,,50k,
,,,,,60k,,60k,,60k,,60k,,60k,
,,,,,80k,,80k,,80k,,80k,,80k,
,,,,,100k,,100k,,100k,,100k,,100k,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,TURKISH,,AMERICAN AIRLINES,,,,,,,
,,,,,QUANTIDADE/CPF,VALOR,QUANTIDADE/CPF,VALOR,,,,,,
,,,,,PREÇO TETO,,PREÇO TETO,,,,,,,
,,,,,15k,,15k,,,,,,,
,,,,,20k,,20k,,,,,,,
,,,,,30k,,30k,,,,,,,
,,,,,40k,,40k,,,,,,,
,,,,,50k,,50k,,,,,,,
,,,,,60k,,60k,,,,,,,
,,,,,80k,,80k,,,,,,,
,,,,,100k,,100k,,,,,,,
