"id","name","liminar_of_id","created_at"
"1","SMILES",,"2026-02-01 14:04:10.065775"
"2","LUFTHANSA",,"2026-02-01 14:04:10.066672"
"3","⁠AEROPLAN / AIRCANADA",,"2026-02-01 14:04:10.070087"
"4","⁠FLYING BLUE / AIRFRANCE",,"2026-02-01 14:04:10.070734"
"5","MILEAGEPLUS / UNITED",,"2026-02-01 14:04:10.071286"
"6","⁠DELTA / SKY",,"2026-02-01 14:04:10.071866"
"7","⁠SUMA/AIR EUROPA",,"2026-02-01 14:04:10.072687"
"8","COPA",,"2026-02-01 14:04:10.073279"
"9","ETIHAD",,"2026-02-01 14:04:10.067237"
"10","EMIRATES",,"2026-02-01 14:04:10.067988"
"11","QANTAS",,"2026-02-01 14:04:10.068669"
"12","ACCOR / ALL ACCOR",,"2026-02-01 14:04:10.069293"
"13","⁠AMERICAN AIRLINES / AA / AADVANTAGE",,"2026-02-01 14:04:10.090999"
"14","BRITISH",,"2026-02-01 14:04:10.102533"
"15","TAP",,"2026-02-01 14:04:10.103497"
"16","TURKISH",,"2026-02-01 14:04:10.103872"
"17","QATAR",,"2026-02-01 14:04:10.101194"
"18","AZUL INTERLINE/AZUL PELO MUNDO/AZUL VIAGENS",,"2026-02-01 14:04:10.104978"
"19","LATAM",,"2026-02-01 14:04:10.107748"
"20","⁠AZUL/TUDO AZUL",,"2026-02-01 14:04:10.11108"
"21","SMILES LIMINAR","1","2026-02-01 14:05:03.84656"
"22","LATAM LIMINAR","19","2026-02-01 14:05:03.846916"
"23","AZUL LIMINAR","20","2026-02-01 14:05:03.84745"
